SRR4098430	SRR4098431	SRR4098432	SRR4098433
LOC100287072	6	3	0	7
CCDC144NL	1	0	0	2
CCDC144NL-AS1	6	1	6	13
LOC339260	0	0	0	0
USP22	8204	6138	5888	4714
LINC01563	0	0	0	0
DHRS7B	602	430	386	330
TMEM11	1407	944	811	579
NATD1	84	67	140	119
MAP2K3	6137	3916	4338	3122
KCNJ12	315	287	745	552
C17orf51	633	479	441	339
KCNJ18	1	2	4	3
FAM27L	0	0	0	0
FLJ36000	0	0	0	0
MTRNR2L1	1403	1123	847	581
MIR4522	0	0	0	0
WSB1	1276	728	1347	1175
TBC1D3P5	0	0	0	0
KSR1	197	174	395	420
LGALS9	14	14	17	17
NOS2	0	0	0	0
LYRM9	37	49	126	113
NLK	168	139	170	140
PYY2	9	8	11	12
PPY2P	0	0	0	2
KRT18P55	40	11	27	8
TMEM97	1777	1169	970	663
IFT20	445	308	526	448
TNFAIP1	2297	1531	2242	1836
POLDIP2	4103	2839	2778	2165
TMEM199	1215	816	978	698
MIR4723	1	1	0	1
SEBOX	2	1	0	1
VTN	1	0	1	2
SARM1	817	676	1270	1021
SLC46A1	1102	861	1716	1364
SLC13A2	0	0	1	3
FOXN1	0	0	0	1
UNC119	1286	1027	1006	683
PIGS	1825	1272	1456	1042
ALDOC	524	412	328	248
SPAG5	5891	3895	1890	1300
SPAG5-AS1	326	263	208	164
SGK494	188	179	181	189
KIAA0100	8846	6465	6364	4904
SDF2	1924	1051	1472	1111
SUPT6H	6742	4998	5504	4432
PROCA1	7	15	3	5
RAB34	10	14	8	7
NARR	0	3	2	0
RPL23A	22599	12819	14594	12739
SNORD42B	19	9	6	7
SNORD4A	217	116	150	97
SNORD42A	18	8	6	8
SNORD4B	14	17	14	21
TLCD1	1054	715	1369	1085
NEK8	292	152	290	212
TRAF4	3242	2278	6598	4779
FAM222B	561	416	577	427
ERAL1	2383	1789	1446	1194
MIR451A	0	0	0	0
MIR451B	0	0	0	0
MIR144	0	0	0	0
MIR4732	0	0	0	0
FLOT2	1640	1297	1507	1325
DHRS13	518	295	361	243
PHF12	1481	1101	1608	1028
LOC101927018	8	5	3	3
SEZ6	0	0	3	4
PIPOX	1	4	2	6
MYO18A	2380	1962	2831	2182
TIAF1	499	469	567	518
CRYBA1	2	1	4	4
NUFIP2	3310	2624	1997	1491
MIR4523	2	4	1	0
TAOK1	1845	1411	1567	1450
ABHD15	360	318	428	337
TP53I13	428	339	468	258
GIT1	2908	2401	3521	2602
ANKRD13B	1094	877	1163	988
CORO6	270	262	225	205
SSH2	551	427	472	426
EFCAB5	0	0	2	1
NSRP1	1436	1212	823	752
MIR423	0	0	0	0
MIR3184	0	0	0	0
SLC6A4	6	2	18	12
BLMH	2369	2046	1604	1348
TMIGD1	0	0	0	0
CPD	1907	1566	1380	1381
GOSR1	1421	1001	1162	929
TBC1D29	1	0	0	0
LRRC37BP1	250	253	245	184
SH3GL1P2	10	2	4	5
SUZ12P1	88	100	54	40
CRLF3	1409	1021	957	823
ATAD5	374	348	85	80
TEFM	550	328	364	299
ADAP2	446	377	628	500
RNF135	179	198	233	236
DPRXP4	1	7	2	4
MIR4733	0	0	0	0
NF1	635	409	523	527
OMG	0	2	0	0
EVI2B	1	0	0	1
EVI2A	1	6	0	0
RAB11FIP4	545	562	688	636
MIR4724	0	0	0	0
MIR193A	0	0	0	0
MIR4725	0	0	0	0
MIR365B	0	0	0	0
COPRS	1547	1167	753	760
UTP6	2698	1461	1154	1115
SUZ12	1954	1575	877	807
LRRC37B	92	67	63	57
SH3GL1P1	8	16	18	20
RHOT1	522	577	453	460
ARGFXP2	3	0	3	2
RHBDL3	69	169	71	79
C17orf75	420	379	457	359
MIR632	2	0	1	2
ZNF207	9538	6489	5908	4846
PSMD11	7728	5681	4657	3597
CDK5R1	366	329	216	159
MYO1D	1600	1103	1044	900
TMEM98	670	560	551	384
SPACA3	0	0	0	2
ASIC2	0	0	0	1
AA06	0	0	0	0
LOC101927239	0	0	0	0
CCL2	0	0	0	0
CCL7	0	0	0	0
CCL11	0	0	0	0
CCL8	0	0	0	0
CCL13	0	0	0	0
CCL1	0	0	0	0
C17orf102	0	0	0	0
TMEM132E	0	0	1	0
CCT6B	9	16	8	11
ZNF830	642	397	496	388
LIG3	1644	1114	1124	1143
RFFL	951	720	592	667
RAD51L3-RFFL	801	615	478	529
RAD51D	335	303	240	184
FNDC8	122	113	77	62
NLE1	2366	1564	1672	1280
UNC45B	0	0	2	7
SLC35G3	0	1	1	0
SLFN5	128	119	166	178
SLFN11	0	2	0	0
SLFN12	8	0	0	0
SLFN13	0	0	0	0
SLFN12L	0	0	0	0
SLFN14	0	2	2	0
SNORD7	4	6	1	4
PEX12	216	122	178	180
AP2B1	6842	4511	4959	4400
RASL10B	1	1	1	0
GAS2L2	0	0	0	1
MMP28	6	3	7	8
C17orf50	1	0	0	0
TAF15	8584	6024	5478	4651
HEATR9	11	0	0	0
CCL5	2	0	0	2
LRRC37A8P	39	63	37	21
RDM1	85	123	36	35
LYZL6	0	0	0	0
CCL16	1	0	0	0
CCL14	0	0	0	0
CCL15-CCL14	0	0	0	0
CCL15	0	0	0	0
CCL23	0	0	0	0
CCL18	0	0	0	0
CCL3	0	4	0	0
CCL3L1	5	8	3	0
CCL4L1	0	0	0	0
CCL4	0	0	0	0
CCL4L2	0	0	0	0
TBC1D3H	82	75	116	145
LOC101060389	83	77	113	143
TBC1D3B	2	1	0	10
TBC1D3L	76	73	104	139
LOC101060321	9	4	6	18
TBC1D3I	82	75	113	143
CCL3L3	5	4	3	0
LOC440434	39	30	34	32
TBC1D3K	11	5	3	7
TBC1D3F	6	5	4	5
ZNHIT3	1237	980	881	685
MYO19	5380	4612	3491	2360
PIGW	388	290	253	159
GGNBP2	1945	1522	1035	1045
DHRS11	407	332	356	280
MRM1	689	476	471	403
LHX1	4	4	3	4
AATF	5142	3469	2727	2484
MIR2909	0	0	0	0
ACACA	5733	3991	4209	3787
C17orf78	0	0	0	0
TADA2A	682	564	372	355
DUSP14	1510	1191	2236	1343
SYNRG	741	610	756	652
DDX52	2120	1481	1368	1213
MIR378J	4	3	9	2
HNF1B	208	140	168	118
YWHAEP7	0	0	0	0
TBC1D3	7	6	3	3
TBC1D3C	5	4	2	0
TBC1D3E	5	4	2	3
MRPL45	2197	1364	1316	1062
GPR179	11	4	12	8
SOCS7	1954	1564	1631	1428
ARHGAP23	1539	1026	1662	1297
SRCIN1	146	156	208	182
C17orf96	1619	1424	1154	723
MIR4734	0	0	0	0
MLLT6	2799	2263	2265	2028
MIR4726	0	0	0	0
CISD3	1848	1475	1359	895
PCGF2	2366	1713	1706	1237
PSMB3	11377	8661	10348	7016
PIP4K2B	2114	1640	2163	1848
CWC25	1675	1149	1083	937
MIR4727	0	0	0	0
C17orf98	5	0	0	0
RPL23	23045	14005	15535	15303
SNORA21	137	87	105	73
LASP1	6021	5434	5522	4657
MIR6779	0	0	0	0
LINC00672	18	33	24	37
FBXO47	0	0	0	0
LRRC37A11P	6	0	8	5
LOC100131347	7	5	11	5
PLXDC1	17	14	34	35
ARL5C	0	0	0	1
CACNB1	253	301	269	155
RPL19	65065	41078	50942	42298
STAC2	2	1	3	0
FBXL20	123	142	178	206
MED1	3853	2983	2731	2349
CDK12	3283	2340	2054	1579
NEUROD2	1	0	0	0
PPP1R1B	10	5	4	0
STARD3	1579	1108	1277	900
TCAP	12	4	4	2
PNMT	0	0	0	0
PGAP3	240	185	276	213
ERBB2	2415	1850	2665	1975
MIR4728	0	0	0	3
MIEN1	1802	1584	2092	1706
GRB7	533	414	650	741
IKZF3	0	1	0	0
ZPBP2	0	0	0	0
GSDMB	175	189	190	228
ORMDL3	2013	1358	1487	1158
LRRC3C	1	0	0	0
GSDMA	0	0	0	0
PSMD3	13362	9824	8926	6061
CSF3	0	0	0	1
MED24	4519	3573	3689	2644
MIR6884	1	1	4	7
SNORD124	4	13	18	20
THRA	782	900	619	536
NR1D1	1547	2296	1342	987
MSL1	2004	1342	1286	1038
CASC3	4394	3100	3695	3092
MIR6866	0	0	0	0
RAPGEFL1	230	308	400	374
MIR6867	0	1	0	0
WIPF2	1344	1106	1376	1149
CDC6	4772	3680	1347	941
RARA	1055	672	960	737
RARA-AS1	13	26	35	43
GJD3	65	65	273	246
TOP2A	7602	4142	2306	1971
IGFBP4	1	0	1	0
TNS4	901	763	1221	1011
CCR7	5	0	5	16
SMARCE1	4778	3385	2963	2850
KRT222	78	88	73	121
KRT24	0	0	0	0
KRT25	2	0	0	0
KRT26	0	0	0	0
KRT27	0	0	0	0
KRT28	0	0	0	0
KRT10	1323	758	636	543
TMEM99	359	233	246	205
KRT12	4	0	0	1
KRT20	78	31	27	13
KRT23	366	241	200	295
KRT39	7	1	4	0
KRT40	4	3	3	9
KRTAP3-3	0	0	0	0
KRTAP3-2	1	0	0	1
KRTAP3-1	24	4	8	3
KRTAP1-5	0	0	1	0
KRTAP1-4	0	0	0	0
KRTAP1-3	0	0	0	0
KRTAP1-1	0	0	0	0
KRTAP9-7	0	0	0	0
KRTAP2-1	0	0	0	0
KRTAP2-2	2	0	0	3
KRTAP2-3	263	73	167	98
KRTAP2-4	12	0	8	4
KRTAP4-7	17	20	37	41
KRTAP4-8	4	1	1	0
KRTAP4-9	9	2	7	2
KRTAP4-11	2	0	0	0
KRTAP4-12	0	1	0	0
KRTAP4-6	4	1	8	6
KRTAP4-5	0	0	0	0
KRTAP4-4	0	0	0	0
KRTAP4-3	0	0	0	0
KRTAP4-2	0	0	0	0
KRTAP4-1	0	0	2	0
KRTAP9-1	0	0	0	0
KRTAP9-2	0	0	0	0
KRTAP9-3	0	0	0	0
KRTAP9-8	0	0	0	0
KRTAP9-4	0	0	0	0
KRTAP9-9	0	0	0	0
KRTAP9-6	0	0	0	0
KRTAP29-1	0	0	0	0
KRTAP16-1	0	0	0	0
KRTAP17-1	0	0	0	0
KRT33A	0	2	1	0
KRT33B	4	0	0	2
KRT34	26	6	10	12
KRT31	1	5	1	1
LOC100505782	1	0	1	0
KRT37	1	1	3	5
KRT38	0	1	2	3
KRT32	115	68	61	89
KRT35	0	1	0	1
KRT36	7	1	6	2
KRT13	80	25	18	6
KRT15	882	485	1208	1342
MIR6510	0	0	0	0
KRT19	35047	21815	40261	35345
LINC00974	1	0	0	0
KRT9	5	0	0	3
KRT14	3	1	3	1
KRT16	13	3	5	4
KRT17	3	0	24	23
KRT42P	0	2	1	0
EIF1	15732	10144	9588	7892
GAST	4	2	7	6
HAP1	63	84	118	140
JUP	5586	4702	8036	6356
P3H4	1140	873	924	618
FKBP10	2227	1675	1763	1495
NT5C3B	3266	2823	2492	1980
KLHL10	0	1	0	0
KLHL11	345	234	223	203
ACLY	13204	9462	8829	6899
TTC25	27	10	27	30
CNP	3053	2359	1939	1539
DNAJC7	3699	2675	2080	1843
NKIRAS2	1947	1334	2039	1456
ZNF385C	6	8	2	7
DHX58	7	13	6	17
KAT2A	4378	3032	3153	2906
HSPB9	0	0	1	3
RAB5C	5174	3664	3684	2940
KCNH4	0	1	0	3
HCRT	0	0	0	0
GHDC	413	299	414	426
STAT5B	200	144	256	261
STAT5A	4	2	0	0
STAT3	2014	1516	3322	2634
PTRF	8643	6238	5085	3434
ATP6V0A1	1136	994	1654	1565
MIR548AT	0	0	0	0
MIR5010	2	2	2	4
NAGLU	495	418	585	544
HSD17B1	230	179	467	372
COASY	3116	2526	2765	2317
MLX	4280	2687	2880	2042
PSMC3IP	1437	995	588	403
FAM134C	686	490	1043	780
TUBG1	3381	2960	2449	2132
TUBG2	502	342	590	604
PLEKHH3	866	1009	842	717
CCR10	6	9	12	1
CNTNAP1	519	482	308	241
EZH1	864	689	1271	1203
MIR6780A	0	0	0	0
RAMP2-AS1	2	5	2	0
RAMP2	0	0	0	0
VPS25	2121	1337	1409	1239
WNK4	132	119	135	86
COA3	898	686	665	547
CNTD1	467	291	368	310
BECN1	1816	1356	1542	1339
MIR6781	3	4	0	6
PSME3	8645	5843	4917	3806
AOC2	168	123	133	110
AOC3	71	125	83	50
AOC4P	1	2	0	0
LINC00671	0	0	0	0
G6PC	1	0	0	0
AARSD1	2282	1705	1379	1224
PTGES3L-AARSD1	2259	1728	1375	1224
PTGES3L	23	58	8	14
RUNDC1	669	473	590	384
RPL27	22245	12703	16316	12850
IFI35	243	253	230	164
VAT1	3681	3251	3093	2693
RND2	12	12	11	9
BRCA1	2166	1554	655	529
NBR2	50	33	52	50
LOC101929767	47	20	34	70
NBR1	1633	1169	1882	1714
TMEM106A	49	37	30	44
LINC00854	1	0	0	3
RNU2-1	0	0	0	0
LINC00910	29	18	32	18
ARL4D	152	101	137	84
MIR2117	0	0	0	0
DHX8	3017	2326	2084	1964
ETV4	1418	1224	1521	1389
MEOX1	4	7	1	3
SOST	0	0	0	2
DUSP3	1629	1235	1445	1162
C17orf105	1	5	1	0
MPP3	796	669	801	638
CD300LG	0	1	0	1
MPP2	509	512	442	364
FAM215A	0	0	0	0
PPY	0	0	8	0
PYY	2	1	1	6
NAGS	311	243	297	239
TMEM101	909	686	972	676
LSM12	727	554	453	417
G6PC3	1335	1036	1787	1372
HDAC5	996	861	1072	993
C17orf53	528	348	280	216
ASB16	70	79	110	100
ASB16-AS1	211	218	299	236
TMUB2	655	496	767	607
ATXN7L3	3789	2808	3221	2279
UBTF	10538	7795	5159	4334
MIR6782	1	0	2	0
SLC4A1	1	6	0	2
RUNDC3A-AS1	29	27	37	28
RUNDC3A	28	25	20	20
SLC25A39	7389	5276	5647	4085
GRN	2923	2166	4504	2915
FAM171A2	306	324	320	208
ITGA2B	10	32	41	43
GPATCH8	1929	1452	1540	1107
FZD2	330	239	315	220
LINC01180	1	1	1	0
C17orf104	16	4	9	10
CCDC43	1124	790	878	882
DBF4B	829	588	508	364
ADAM11	507	500	391	368
GJC1	1734	1462	772	678
HIGD1B	7	9	8	9
EFTUD2	7872	5881	4753	4037
CCDC103	46	25	20	15
GFAP	1	0	0	1
KIF18B	3428	2086	1179	721
MIR6783	9	12	2	1
C1QL1	16	32	22	5
DCAKD	334	340	717	711
NMT1	7615	5032	5203	4311
PLCD3	2671	2277	5207	3896
MIR6784	8	7	54	18
ACBD4	53	45	117	100
HEXIM1	3571	3055	3631	2972
HEXIM2	193	167	219	235
FMNL1	185	160	159	207
MAP3K14-AS1	75	46	74	100
SPATA32	7	0	11	5
MAP3K14	1147	1040	1106	786
ARHGAP27	1175	932	1540	1270
PLEKHM1	731	413	821	661
MIR4315-2	0	0	0	0
MIR4315-1	0	0	0	0
LRRC37A4P	244	200	253	242
LOC644172	5	3	2	0
MGC57346-CRHR1	126	88	145	138
MGC57346	566	417	771	678
CRHR1-IT1	79	84	146	118
CRHR1	0	2	0	2
MAPT-AS1	0	0	0	0
SPPL2C	0	0	0	0
MAPT	1000	1113	1083	933
MAPT-IT1	1	2	0	0
STH	4	5	1	2
KANSL1	1405	1147	1238	1070
KANSL1-AS1	7	12	5	4
LRRC37A	39	16	34	22
ARL17B	20	7	13	18
ARL17A	130	88	86	95
NSFP1	14	12	5	9
LRRC37A2	62	33	50	72
NSF	1841	1467	1410	1475
WNT3	153	119	159	146
WNT9B	0	0	0	0
GOSR2	1860	1343	1520	1160
MIR5089	0	0	0	0
RPRML	9	13	4	6
CDC27	2370	1934	1316	1210
MYL4	2	0	2	0
ITGB3	1	5	7	8
THCAT158	1	0	3	0
EFCAB13	10	13	22	27
MRPL45P2	96	49	51	44
NPEPPS	3239	2518	2627	2529
KPNB1	25259	19083	12110	9975
TBKBP1	308	356	391	293
TBX21	0	0	0	0
OSBPL7	494	465	749	601
MRPL10	4166	2753	3101	2344
LRRC46	69	53	28	35
SCRN2	611	489	883	658
SP6	787	504	745	463
SP2	1431	961	817	608
SP2-AS1	79	35	33	71
PNPO	1449	943	1728	1538
PRR15L	3	9	16	6
CDK5RAP3	5860	3788	4501	4632
COPZ2	0	0	0	2
MIR152	0	0	0	0
NFE2L1	10133	7515	7565	5338
CBX1	6204	4939	3416	2916
SNX11	1207	860	880	664
SKAP1	183	143	134	196
MIR1203	0	0	1	0
THRA1/BTR	0	0	2	0
LOC101927166	3	3	1	4
HOXB1	0	0	0	0
HOXB2	25	20	45	54
HOXB-AS1	25	8	22	13
HOXB3	596	376	528	495
HOXB4	1000	572	1099	809
MIR10A	0	0	0	0
HOXB-AS3	479	321	602	512
HOXB5	463	339	386	293
HOXB6	921	713	1149	849
HOXB7	1293	834	851	626
HOXB8	2026	1333	1718	1198
HOXB9	733	632	530	425
MIR196A1	4	2	0	0
PRAC1	0	0	0	0
PRAC2	0	11	8	2
MIR3185	0	0	0	0
HOXB13	301	294	468	394
TTLL6	21	10	37	40
CALCOCO2	1883	1559	1450	1516
ATP5G1	5991	5244	5570	4716
UBE2Z	5107	3534	3379	3089
SNF8	3420	2556	2442	2284
GIP	0	0	2	0
IGF2BP1	14	18	7	22
B4GALNT2	0	0	0	0
GNGT2	3	0	2	0
ABI3	0	1	0	1
PHOSPHO1	44	53	96	79
FLJ40194	0	0	0	0
MIR6129	0	0	0	1
ZNF652	539	445	434	417
LOC102724596	3	9	4	0
PHB	15280	10365	11316	8730
LOC101927207	1	0	1	0
NGFR	181	238	243	218
LOC100288866	11	11	38	27
MIR6165	0	0	0	0
NXPH3	2	0	1	1
SPOP	2082	1516	1717	1626
SLC35B1	3661	2492	2427	1737
FAM117A	179	196	260	218
KAT7	1675	1260	1004	906
TAC4	4	0	3	6
FLJ45513	9	0	15	20
DLX4	143	159	173	160
DLX3	1	0	0	0
LOC284080	12	20	123	143
ITGA3	11686	9153	18259	14511
PDK2	791	871	1088	916
SAMD14	24	35	20	35
PPP1R9B	6183	4568	7118	5218
SGCA	2	0	0	0
HILS1	0	0	0	1
COL1A1	470	562	694	618
LOC101927230	0	0	0	0
TMEM92	77	59	146	118
TMEM92-AS1	1	1	2	0
XYLT2	1691	1213	1882	1401
MRPL27	3199	2396	2592	1929
EME1	1598	1306	689	448
LRRC59	18679	13587	9798	7529
ACSF2	353	452	504	479
CHAD	19	23	44	46
RSAD1	2937	2220	2956	2660
MYCBPAP	1	0	1	2
EPN3	209	254	876	871
SPATA20	1285	958	1767	1720
CACNA1G-AS1	0	2	0	0
CACNA1G	32	74	48	54
ABCC3	322	270	408	494
ANKRD40	2609	1847	2073	1774
LUC7L3	6029	4622	4817	4729
LINC00483	0	0	0	0
MIR8059	0	0	0	0
WFIKKN2	0	0	0	2
TOB1	935	749	1880	1667
TOB1-AS1	10	9	26	23
SPAG9	2640	2082	1909	2010
NME1-NME2	34243	23162	28212	22705
NME1	31441	18773	27414	21466
NME2	23009	15313	17716	15282
MBTD1	899	770	903	871
UTP18	4883	3563	2531	2316
LOC101927274	0	0	0	0
LOC440446	0	0	0	0
CA10	1	1	0	0
C17orf112	0	0	0	0
KIF2B	0	0	0	0
TOM1L1	1249	983	974	955
COX11	1165	825	1037	967
STXBP4	325	285	322	298
HLF	9	36	34	34
MMD	185	178	97	89
TMEM100	0	0	0	0
PCTP	294	349	402	297
ANKFN1	3	1	8	11
NOG	10	1	4	14
C17orf67	91	52	74	52
DGKE	72	95	78	57
MTVR2	3	0	0	1
TRIM25	7563	4935	5323	3832
MIR3614	2	2	2	0
COIL	1762	1290	1181	952
SCPEP1	883	934	1282	1041
RNF126P1	42	40	40	24
AKAP1	4700	3061	3507	2491
MSI2	1655	1184	1701	1346
LOC101927557	0	0	0	0
LOC101927539	1	1	0	0
CCDC182	0	0	0	0
MRPS23	5573	3485	3237	3228
CUEDC1	1643	1314	2299	1690
VEZF1	1573	1008	1155	995
SRSF1	13172	8314	8603	8417
LOC101927666	0	1	1	1
DYNLL2	3559	2653	1771	1411
OR4D1	2	0	0	0
MSX2P1	5	1	2	1
OR4D2	0	0	0	0
EPX	11	16	12	16
MKS1	950	830	821	694
LPO	0	3	0	0
MPO	0	0	0	0
BZRAP1	4	1	0	2
BZRAP1-AS1	248	128	215	125
MIR142	1	0	0	0
MIR4736	0	0	0	0
SUPT4H1	2581	1759	2043	1668
RNF43	1508	1133	1983	1575
HSF5	0	0	0	1
MTMR4	2562	1760	1850	1641
SEPT4-AS1	1	2	1	5
SEPT4	34	49	52	58
C17orf47	2	6	11	2
TEX14	32	43	43	36
RAD51C	2464	1654	1308	1063
PPM1E	29	29	26	25
TRIM37	2234	1753	1231	1133
SKA2	845	770	364	395
MIR454	0	0	0	0
MIR301A	0	0	0	0
PRR11	3740	2718	1286	977
SMG8	1833	1263	1220	839
GDPD1	129	107	180	151
YPEL2	39	34	187	177
MIR4729	0	0	0	0
LINC01476	0	0	0	0
DHX40	1379	1105	997	984
CLTC	20965	14763	13205	12305
PTRH2	3571	2613	2261	1707
VMP1	4099	3395	3504	3069
MIR21	0	0	2	0
TUBD1	227	128	141	131
RPS6KB1	2238	1698	1654	1606
RNFT1	235	228	261	197
LOC101927755	10	11	13	15
TBC1D3P1-DHX40P1	13	9	9	2
MIR4737	3	3	1	4
HEATR6	1423	1053	1182	1007
WFDC21P	29	17	20	14
LOC653653	21	6	9	11
CA4	0	0	0	0
USP32	1390	1060	1202	1153
SCARNA20	0	0	1	0
C17orf64	1	0	0	0
APPBP2	890	661	1137	885
LOC388406	0	0	0	0
PPM1D	826	574	2055	1857
BCAS3	189	211	282	274
TBX2-AS1	0	0	1	0
TBX2	1	3	10	4
C17orf82	0	0	6	3
TBX4	2	2	7	0
NACA2	197	103	101	99
BRIP1	750	485	284	213
INTS2	1113	896	996	950
MED13	1999	1612	1685	1634
TBC1D3P2	0	0	0	0
EFCAB3	0	0	0	0
METTL2A	2603	1464	1637	1150
TLK2	952	620	756	684
MRC2	157	185	119	193
MARCH10	2	2	8	4
MIR633	0	0	0	0
TANC2	1267	1006	1059	912
CYB561	2743	2354	2186	1724
ACE	45	60	93	105
KCNH6	0	0	2	0
DCAF7	3823	2693	3537	2959
TACO1	1817	1237	1229	986
MAP3K3	1015	993	1082	705
LIMD2	147	145	176	155
LOC729683	3	3	4	1
STRADA	608	493	870	852
CCDC47	6764	5249	4618	3924
DDX42	7260	4996	4332	3908
FTSJ3	8227	5723	5452	4676
PSMC5	10354	7430	6706	5254
SMARCD2	6708	5594	4679	3737
TCAM1P	25	34	7	14
CSH2	2	1	0	2
GH2	2	0	0	0
CSH1	0	0	0	0
CSHL1	0	0	0	0
GH1	0	0	0	0
CD79B	2	1	24	25
SCN4A	3	12	8	9
PRR29-AS1	0	0	1	0
PRR29	0	0	0	1
ICAM2	0	1	0	2
ERN1	285	172	311	287
SNHG25	568	429	636	468
SNORD104	366	258	293	200
SNORA76C	115	107	152	150
TEX2	1472	1216	1099	974
PECAM1	3	2	2	0
MIR1273E	0	0	0	0
MILR1	11	8	12	18
POLG2	785	562	773	705
DDX5	21679	17565	14194	12199
MIR3064	73	50	63	67
MIR5047	385	345	414	446
CEP95	2232	1560	1958	1755
SMURF2	5852	3640	3833	3575
LOC146880	437	338	617	436
MIR6080	0	0	2	0
PLEKHM1P	250	174	393	332
LRRC37A3	34	29	78	85
AMZ2P1	304	216	470	421
GNA13	1532	1149	906	896
LOC100507002	16	18	6	10
RGS9	25	37	27	33
CRAT40	0	0	0	0
AXIN2	317	183	270	176
CEP112	82	91	56	64
APOH	0	0	0	0
PRKCA	879	717	753	697
PRKCA-AS1	0	0	0	0
MIR634	0	0	0	0
CACNG5	0	0	0	0
CACNG4	1	0	0	0
CACNG1	0	0	0	0
HELZ	1258	960	1333	1275
PSMD12	6521	4148	3079	2596
PITPNC1	965	759	570	568
MIR548AA2	0	0	0	0
MIR548D2	0	0	0	0
NOL11	4660	3229	2188	2145
SNORA38B	4	1	4	0
BPTF	3348	2672	2462	2302
C17orf58	972	768	673	533
KPNA2	30454	16167	8959	6450
LINC00674	617	608	800	700
LOC440461	9	5	11	12
AMZ2	2873	2107	4729	3881
ARSG	186	209	267	210
SLC16A6	97	73	108	113
PRKAR1A	4850	4031	3953	4086
WIPI1	228	207	347	345
MIR635	0	2	3	5
FAM20A	23	4	11	12
LINC01482	0	0	0	0
ABCA8	0	0	0	0
ABCA9	0	0	1	0
ABCA9-AS1	0	0	0	0
ABCA6	1	0	0	1
MIR4524B	0	0	0	0
MIR4524A	0	0	0	0
ABCA10	0	4	5	2
PRO1804	1	0	0	0
ABCA5	79	59	115	138
MAP2K6	0	0	0	0
LINC01483	0	0	0	0
LINC01497	0	0	0	0
LINC01028	0	0	0	0
KCNJ16	0	0	0	0
KCNJ2-AS1	0	0	0	0
KCNJ2	6	2	1	2
CASC17	0	0	0	0
LOC102723505	0	0	0	0
LINC01152	0	0	0	0
LOC102723517	0	0	0	0
SOX9-AS1	3	9	7	4
LOC101928205	0	1	0	2
SOX9	850	561	1790	1269
LINC00673	394	243	263	172
LINC00511	9	4	14	10
SLC39A11	694	608	761	618
SSTR2	7	0	3	1
COG1	1679	1284	1343	1281
FAM104A	1447	1013	1231	1090
C17orf80	949	760	968	1003
CPSF4L	8	0	0	4
CDC42EP4	1661	1395	1447	1199
SDK2	2	3	0	2
LOC100134391	0	0	0	0
LINC00469	0	0	0	0
LOC400620	0	0	0	0
RPL38	25749	15808	16575	13513
MGC16275	21	17	21	12
TTYH2	1061	959	982	764
DNAI2	0	0	0	0
KIF19	0	0	0	2
BTBD17	5	0	2	0
GPR142	1	0	0	0
GPRC5C	328	287	605	436
CD300A	0	0	0	0
CD300LB	0	0	0	0
CD300C	7	0	5	7
CD300LD	0	0	0	0
C17orf77	0	0	0	0
CD300E	0	0	0	0
RAB37	76	92	210	174
CD300LF	0	0	0	0
SLC9A3R1	4501	3378	3920	3221
MIR3615	1	0	1	0
NAT9	2607	2027	2969	2319
TMEM104	695	738	814	484
GRIN2C	42	34	231	212
FDXR	1592	1517	12105	8718
FADS6	0	0	0	0
USH1G	58	82	105	76
OTOP2	1	3	0	2
OTOP3	0	0	0	0
HID1	443	543	679	677
HID1-AS1	0	0	0	0
CDR2L	1082	969	1027	644
ICT1	2460	1870	1542	1111
KCTD2	1490	1022	1324	890
ATP5H	4581	3559	3366	2925
SLC16A5	889	559	1167	811
ARMC7	970	729	997	771
NT5C	2394	1948	2168	1581
HN1	12141	8226	6902	5216
SUMO2	4580	3195	2482	2294
NUP85	5254	3696	2484	1721
GGA3	2832	2107	2281	2011
MRPS7	5373	2979	3264	2631
MIF4GD	647	506	395	420
LOC100287042	862	658	675	511
SLC25A19	1883	1183	953	773
GRB2	7400	5363	4665	3653
MIR3678	0	0	0	0
KIAA0195	1681	1302	1700	1399
MIR6785	2	1	2	3
CASKIN2	1536	1209	1180	745
TSEN54	4054	3022	2776	2097
LLGL2	4234	3339	3641	2596
MYO15B	60	79	78	109
RECQL5	1144	892	1234	1226
SMIM5	44	16	40	46
SMIM6	22	9	5	8
SAP30BP	4733	3112	3518	2576
ITGB4	6761	5728	11921	8295
GALK1	712	662	805	613
H3F3B	22990	15259	12308	9382
MIR4738	0	0	0	0
UNK	1420	987	1252	897
UNC13D	260	223	236	205
WBP2	2084	2015	3264	2722
TRIM47	2092	1522	1445	1021
TRIM65	1430	1130	1210	1045
MRPL38	4585	3819	3684	2424
FBF1	588	438	531	535
ACOX1	1251	981	1259	1029
TEN1	902	577	802	590
TEN1-CDK3	1269	805	1132	860
CDK3	326	196	268	232
EVPL	3302	2660	4207	3051
SRP68	8758	6356	6711	5586
GALR2	11	6	20	5
ZACN	591	368	557	441
EXOC7	7106	4625	7308	6009
MIR6868	0	0	0	0
FOXJ1	0	2	4	1
RNF157-AS1	1	1	31	31
RNF157	2	3	19	24
UBALD2	944	901	546	490
QRICH2	254	171	124	139
PRPSAP1	1997	1609	1258	1100
SPHK1	86	117	121	44
UBE2O	4744	3615	4023	3000
AANAT	5	5	14	13
RHBDF2	888	956	1702	1331
