X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.2.sorted.bam
MIR3128	0	0	0	0	0	0	0	0
LOC100130691	1340	1892	1116	1177	1920	1802	904	845
MIR6512	0	0	0	0	0	0	0	0
AGPS	2524	3391	2349	2328	4189	3633	1887	1571
LOC105373762	0	0	0	0	0	0	0	0
TTC30B	167	228	89	115	218	157	97	76
TTC30A	158	241	125	140	263	197	95	93
PDE11A	33	39	19	23	43	35	33	33
LOC105373764	0	0	0	0	1	1	0	0
RBM45	530	673	382	434	838	697	329	246
OSBPL6	10	8	7	7	12	9	2	2
CHROMR	2846	3732	1672	1511	3091	2910	1408	972
PRKRA	1745	2376	1554	1457	2901	2287	1276	983
PJVK	233	257	124	128	277	229	127	103
FKBP7	173	153	131	129	222	194	124	87
PLEKHA3	748	1035	597	528	1018	908	475	421
TTN-AS1	4114	5787	3073	3107	5293	5352	2722	2148
TTN	659	907	513	414	993	756	522	350
LOC101927055	3	0	0	0	1	0	1	1
CCDC141	565	751	443	326	830	637	369	265
LOC105373766	0	1	1	0	3	0	0	0
SESTD1	909	1316	690	651	1386	1227	583	475
ZNF385B	4	5	8	4	6	12	0	1
LOC101927073	2	6	0	6	6	2	2	1
LOC107985967	0	0	0	0	0	0	0	0
MIR1258	0	0	0	0	0	0	0	0
CWC22	1583	1939	1407	1329	2452	1990	1177	931
LOC105373767	0	0	0	0	0	0	0	0
LOC105373768	0	0	0	0	0	0	0	0
LOC105373769	0	0	0	0	0	1	0	0
LOC105373770	0	0	0	0	0	0	0	0
SCHLAP1	3	5	2	1	1	4	0	3
LOC105373771	0	0	0	0	0	0	0	0
LOC105373772	0	2	1	1	2	0	1	0
UBE2E3	410	592	371	332	713	659	277	293
LOC107985831	2	1	0	0	0	0	1	1
LINC01934	1150	1934	624	737	1318	1248	524	525
MIR4437	0	3	2	4	0	0	2	0
ITGA4	23267	30032	15288	14578	30616	26578	13696	10703
CERKL	113	202	89	76	169	155	61	76
NEUROD1	0	2	5	0	5	1	0	0
ITPRID2	2706	3406	1875	1684	3492	2945	1634	1216
PPP1R1C	0	0	0	1	1	0	1	0
LOC102724288	0	0	0	0	0	0	0	0
PDE1A	10	2	1	2	7	4	1	3
LOC101929976	9	18	6	9	7	7	3	6
DNAJC10	2792	3559	2563	2533	4668	4028	2122	1730
FRZB	5	2	0	0	1	1	1	1
NCKAP1	742	961	628	566	1076	986	526	435
DUSP19	174	242	118	83	170	157	71	42
NUP35	559	816	489	481	899	726	423	411
LOC105373774	50	54	31	41	82	54	32	32
LOC105373775	0	0	0	0	1	0	0	0
LOC105373777	0	0	0	0	0	0	1	0
LOC102724340	83	129	69	47	128	113	44	24
LOC105373776	0	1	1	0	0	2	0	0
MIR548AE1	0	0	0	0	0	0	0	0
LOC107985968	3	2	0	0	3	3	0	1
LOC105373779	0	3	0	0	1	0	0	0
LOC105373780	1	1	1	0	4	0	0	0
ZNF804A	1899	2591	2051	2123	3404	3273	1771	1559
LOC105373782	0	0	0	0	0	0	0	0
LOC105373781	0	0	0	0	0	0	0	0
LOC107985832	0	0	0	0	0	0	0	0
FSIP2-AS2	0	1	0	1	0	3	0	0
LOC107985782	0	0	0	0	0	0	0	0
FSIP2	0	6	1	0	0	2	1	0
FSIP2-AS1	31	51	21	6	57	57	12	14
LOC107985783	65	100	32	26	78	97	35	41
LINC01473	284	320	171	182	315	309	161	132
LOC105373785	766	1106	622	608	1124	1096	559	481
ZC3H15	2643	3410	2705	2439	4818	3853	2099	1793
LOC107985784	54	60	28	37	76	67	30	22
ITGAV	1610	2036	1336	1148	2537	2120	1095	828
FAM171B	94	88	43	53	116	112	47	42
ZSWIM2	0	0	0	0	0	0	0	0
CALCRL	181	200	132	105	226	190	109	97
LOC105373786	3	4	0	3	5	0	0	0
TFPI	6	4	1	0	1	1	0	0
LOC105373788	0	0	0	0	0	0	0	0
LINC01090	8	14	2	4	8	6	1	6
GULP1	0	4	1	0	5	4	1	0
MIR561	0	0	0	0	0	0	0	0
LOC105373790	3	2	0	0	3	1	1	0
DIRC1	0	0	0	0	1	0	0	0
LOC105373791	0	0	0	0	0	0	0	0
COL3A1	5	2	3	2	7	6	6	0
MIR1245A	0	0	0	0	0	0	0	0
MIR1245B	0	0	0	0	0	0	0	0
MIR3606	0	0	0	0	0	0	0	0
COL5A2	56	66	51	45	96	84	24	30
MIR3129	0	0	0	0	0	0	0	0
LOC101927252	128	207	81	90	179	160	69	57
WDR75	2227	2921	2159	1940	3624	3183	1637	1429
SLC40A1	1	4	0	0	0	0	0	0
ASDURF	262	326	311	262	502	479	214	142
ASNSD1	1067	1249	946	907	1797	1470	754	582
LOC105373793	1	0	0	0	0	0	2	0
ANKAR	832	1023	591	565	997	951	495	418
OSGEPL1	368	540	329	285	649	480	301	247
OSGEPL1-AS1	28	59	26	18	40	27	17	13
ORMDL1	2365	3010	1897	1711	3356	3116	1566	1285
PMS1	2231	3019	2301	2110	4047	3313	1750	1551
LOC105373796	0	4	0	1	0	0	1	1
LOC105373795	0	1	0	0	0	0	1	0
MSTN	5	1	0	3	0	0	0	3
LOC105373794	49	54	23	23	41	36	26	28
C2orf88	911	1253	891	760	1582	1441	672	596
HIBCH	3631	5184	2859	2604	5164	4460	2409	1960
INPP1	447	585	449	351	820	612	388	261
MFSD6	2211	3157	1934	1698	3497	2836	1575	1421
LOC105373802	10	25	13	8	9	12	4	4
NEMP2	1034	1518	944	920	1743	1493	774	715
LOC105376748	325	435	272	264	510	425	201	175
NAB1	2105	2742	1923	1742	3569	2902	1575	1172
GLS	11460	15293	10489	9654	20163	17233	9207	6963
STAT1	27376	36836	26963	27453	44763	43147	23633	19492
LOC105373805	20	25	15	11	18	25	12	8
LOC107985785	1	5	1	2	1	1	2	1
STAT4	458	546	202	203	364	254	138	150
LOC105373804	0	0	0	0	1	0	1	0
MYO1B	644	825	763	600	1493	1137	678	502
LOC107985833	0	0	0	0	2	0	0	0
NABP1	1789	2741	1751	1592	3021	2642	1355	1089
LOC105747689	1014	1235	883	823	1479	1274	641	570
LOC105373811	6	25	3	5	10	15	6	4
LOC105373812	0	0	0	0	1	0	0	1
LOC729254	0	0	0	0	6	1	0	0
CAVIN2	2	0	4	1	2	1	0	0
TMEFF2	2	5	2	6	6	3	2	1
CAVIN2-AS1	0	0	0	0	0	0	1	0
LOC101927366	0	0	0	0	0	1	0	0
LOC105376754	0	0	0	0	0	0	0	0
LOC112268441	0	0	0	0	0	0	0	0
PCGEM1	0	0	0	0	0	0	0	0
LOC107985969	1	0	0	2	0	0	1	0
LOC105373815	0	0	0	0	0	0	0	0
LINC01821	0	3	3	0	1	0	2	2
LOC105373816	0	0	0	0	0	1	0	0
LOC105376755	26	44	17	32	43	47	22	15
LINC01790	0	1	0	0	1	1	0	0
LOC105373817	0	0	0	0	0	0	0	0
LINC01827	0	0	0	0	0	0	0	0
SLC39A10	1183	1666	810	817	1553	1428	719	607
DNAH7	80	128	119	98	221	159	96	69
LOC107985972	19	20	18	25	41	43	14	34
LOC105373819	0	0	0	0	0	0	0	0
STK17B	8556	11607	6766	6305	12926	10930	5678	4545
LOC101927454	0	1	0	0	4	0	1	0
HECW2	2002	2406	1747	1387	3086	2384	1485	1092
HECW2-AS1	2	1	1	1	3	1	1	0
LOC105373822	0	3	0	0	1	1	0	2
LOC105373821	1	0	0	0	0	0	0	0
LOC105373823	0	0	0	0	0	0	0	0
CCDC150	621	834	547	523	1032	821	479	360
LOC100130452	2	2	1	2	2	4	0	0
GTF3C3	1788	2369	1601	1426	2933	2390	1283	1045
C2orf66	2	3	4	0	5	2	1	1
PGAP1	601	831	589	565	1144	916	513	367
ANKRD44	23909	35741	17558	17880	32746	30434	15188	13432
ANKRD44-AS1	11	32	18	11	40	39	7	16
LOC105373826	147	236	102	134	257	195	97	89
ANKRD44-IT1	4872	7617	3907	3891	6891	6844	3329	2999
LOC105373824	19	20	7	3	24	4	6	5
SF3B1	12118	16059	10495	9124	19049	16602	8968	7120
COQ10B	603	789	697	669	1063	865	427	403
HSPD1	16393	20323	16939	16087	30594	24902	13864	11652
SNORA105B	0	0	0	0	0	0	0	0
HSPE1	2138	2488	4778	2620	6117	5044	2186	2091
HSPE1-MOB4	3144	3801	5749	3489	7898	6494	2998	2692
MOB4	953	1242	914	794	1629	1285	729	565
RFTN2	8	15	4	9	11	13	3	6
MARS2	506	697	512	570	881	858	431	378
BOLL	10	3	3	1	4	6	2	4
LOC105373828	0	0	0	0	0	0	0	0
PLCL1	37	65	28	24	58	45	21	31
LINC01923	5	0	0	0	0	0	0	0
LOC105373831	7	3	1	3	3	6	2	2
LOC105373830	0	0	0	0	0	0	0	0
SATB2	14	3	5	8	27	5	5	8
SATB2-AS1	0	0	0	0	0	0	0	0
LINC01877	0	0	0	0	0	0	0	0
FTCDNL1	179	257	124	135	250	208	104	115
LOC101927687	149	224	107	99	231	197	78	63
C2orf69	923	1187	944	838	1665	1366	706	529
TYW5	1072	1268	757	678	1461	1127	615	516
MAIP1	500	651	414	396	750	691	377	323
LOC105373833	0	0	0	0	0	0	0	0
SPATS2L	1503	1868	1360	1388	2524	2066	1164	959
LOC107985786	16	26	13	8	24	9	5	9
LOC101927741	70	98	57	55	86	75	49	56
KCTD18	1008	1374	704	640	1350	1026	581	454
SGO2	2288	2675	1919	1576	3625	2665	1723	1118
AOX1	10	8	10	4	16	6	10	6
AOX3P-AOX2P	0	1	2	1	3	4	1	5
LINC01792	0	0	0	0	1	0	0	0
BZW1-AS1	13	11	7	1	22	9	7	4
BZW1	5495	6641	4521	4688	9257	7731	4057	3156
CLK1	3755	4920	3002	2597	5569	4609	2501	1819
PPIL3	1371	1949	1143	1021	2127	1913	964	771
NIF3L1	900	1133	770	661	1485	1202	632	496
ORC2	2408	3182	2255	2033	4157	3299	1840	1607
LOC105373835	461	624	278	314	519	434	256	215
FAM126B	2298	3002	1999	2002	3799	3257	1680	1401
NDUFB3	1197	1610	1462	1039	2248	1735	816	774
LOC105373836	332	485	189	239	388	335	177	159
CFLAR	11966	17774	7360	7753	13869	12574	6194	5660
CFLAR-AS1	2	7	4	5	2	13	0	2
CASP10	1753	2576	1097	1091	2031	2090	975	853
CASP8	1298	1730	980	953	1865	1608	807	668
FLACC1	68	85	64	40	120	87	41	30
TRAK2	1320	1629	1110	1073	2150	1678	978	868
STRADB	275	391	311	228	523	431	237	187
C2CD6	6	2	5	5	5	6	0	1
TMEM237	179	213	184	170	325	263	169	122
MPP4	4	4	0	2	3	9	4	4
ALS2	500	735	415	458	770	656	353	295
CDK15	1	3	0	3	1	1	1	2
FZD7	23	38	10	24	44	31	18	19
KIAA2012	0	0	0	0	0	0	0	0
KIAA2012-AS1	0	0	0	0	0	3	0	0
SUMO1	3605	4847	3497	3318	6514	5296	2597	2526
NOP58	4517	6414	4236	4790	7716	6774	3466	3298
SNORD70	0	0	0	0	0	0	0	0
SNORD70B	0	0	0	0	0	0	0	0
SNORD11B	0	0	0	0	0	0	0	0
SNORD11	0	0	0	0	0	0	0	0
LOC107985976	93	106	77	70	118	110	51	55
BMPR2	3865	5614	3725	3283	7055	6083	3118	2510
FAM117B	1790	2557	1149	1246	2380	2240	1096	956
ICA1L	243	300	153	127	316	232	135	105
WDR12	1264	1644	1257	1239	2348	1883	1067	974
CARF	1075	1381	806	718	1483	1208	679	571
NBEAL1	1172	1382	1043	773	1786	1345	820	586
CYP20A1	1203	1764	887	879	1490	1322	686	629
ABI2	1462	2043	1427	1357	2533	2210	1230	1004
RAPH1	28	24	18	5	42	28	12	9
CD28	264	297	215	140	362	278	188	110
CTLA4	0	0	0	0	0	0	0	0
LOC101927840	1	6	2	0	2	2	0	1
ICOS	1	0	0	2	2	1	0	0
LOC105373845	0	0	0	0	0	0	0	0
PARD3B	7	24	10	16	20	19	14	11
NRP2	35	36	13	10	29	35	12	13
LOC105373847	0	0	0	0	0	1	1	0
INO80D	2374	3477	1907	1782	3501	3269	1621	1372
LOC105373848	33	47	26	19	31	14	13	16
NDUFS1	3007	4137	3086	2840	5326	4885	2396	2110
GCSHP3	33	54	49	30	84	47	25	27
EEF1B2	13809	18234	12543	10269	21103	17001	9533	8364
SNORD51	0	0	0	0	0	0	0	0
SNORA41	0	0	0	0	0	0	0	0
GPR1	0	1	0	0	0	0	0	0
GPR1-AS	1	3	1	0	4	7	0	0
ZDBF2	1860	2330	1260	961	2363	1966	1134	792
ADAM23	1157	1433	860	698	1500	1348	727	577
FAM237A	1	0	1	0	0	0	0	0
DYTN	30	62	22	25	58	45	24	11
MDH1B	24	31	22	32	44	29	21	14
FASTKD2	1182	1446	1217	1124	2124	1773	984	826
MIR3130-1	0	0	0	0	0	0	0	0
MIR3130-2	0	0	0	0	0	0	0	0
CPO	3	8	3	7	9	10	3	8
KLF7	1032	1505	906	870	1664	1537	772	691
MIR2355	0	0	0	0	0	0	0	0
MIR7845	11	10	1	6	10	7	2	0
MYOSLID-AS1	78	113	42	46	86	143	45	48
MYOSLID	0	1	0	0	0	0	0	0
LINC01802	0	0	1	0	0	0	0	0
MIR1302-4	0	2	0	1	0	0	0	0
LOC105373851	56	90	26	37	59	42	35	23
CREB1	4286	5767	3658	3571	6689	5766	2940	2471
METTL21A	997	1511	969	917	1699	1616	865	724
LINC01857	164	213	134	134	259	239	123	105
CCNYL1	951	1330	777	798	1608	1352	693	552
MIR4775	0	0	0	0	0	0	0	0
FZD5	68	89	89	85	176	153	81	79
PLEKHM3	874	1207	601	589	1002	970	546	438
LOC105373854	1	0	0	0	0	0	0	0
LOC100507443	0	1	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0	0
CRYGA	0	0	0	0	0	0	0	0
C2orf80	0	0	0	0	1	0	0	0
IDH1	1691	2184	1766	1748	3340	2824	1481	1230
IDH1-AS1	32	48	37	20	54	70	29	24
PIKFYVE	5567	7319	4577	4191	8402	7173	3937	3139
LOC105373855	0	0	0	0	0	0	0	0
PTH2R	1	1	0	1	3	1	0	0
LOC101927960	7	12	5	11	23	15	4	3
LOC105373857	0	0	0	1	0	0	0	0
LOC105373856	0	1	2	0	0	2	0	2
MAP2	5	4	0	1	12	8	0	3
UNC80	7	8	17	3	8	9	1	6
RPE	2141	2953	2061	2059	3920	3408	1684	1484
KANSL1L-AS1	862	1069	724	672	1235	1117	597	487
KANSL1L	879	1179	794	690	1282	1095	649	490
LOC112268429	0	0	0	0	0	0	0	0
LOC107985977	15	20	15	13	28	33	14	12
ACADL	1	0	0	0	0	0	0	1
MYL1	0	0	0	0	1	0	0	0
LANCL1-AS1	2	10	4	1	12	1	2	4
LANCL1	2046	2578	1453	1485	2714	2447	1305	978
CPS1	89	86	60	43	107	102	66	26
CPS1-IT1	1	1	0	0	3	7	1	0
LOC107985978	0	0	0	0	0	0	0	0
ERBB4	3	1	2	5	9	5	1	7
MIR548F2	0	0	0	0	0	0	0	0
LOC107985979	2	12	5	3	10	10	6	2
LINC01878	0	1	1	0	2	2	0	0
MIR4776-1	0	0	0	0	0	0	0	0
MIR4776-2	0	0	0	0	1	0	0	0
LOC102725082	2554	3369	1793	1611	3068	2683	1628	1111
LOC107985980	2	5	1	0	1	1	1	0
IKZF2	29039	36657	20420	17943	38366	32617	17509	13139
LINC01953	9	5	1	1	11	3	0	4
LOC105373864	1	1	0	0	0	0	0	2
LOC107985981	7	15	11	11	23	10	12	8
SPAG16-DT	13	14	7	4	10	9	8	3
SPAG16	991	1432	695	777	1307	1201	606	491
MIR4438	0	0	0	0	0	0	0	0
LOC101928084	0	0	0	0	0	0	0	1
VWC2L	0	0	0	0	2	2	0	0
VWC2L-IT1	0	0	0	0	1	0	0	0
BARD1	2081	2799	1895	1835	3739	3273	1640	1343
SNHG31	805	1115	650	597	1151	1037	504	456
SNORA70I	0	0	0	0	0	0	0	0
ABCA12	32	36	23	26	31	28	8	17
ATIC	3091	3944	3265	3341	5669	4976	2679	2336
FN1	1	2	8	4	11	3	9	4
LOC112268430	30	38	26	23	54	43	13	24
LOC105373868	0	0	0	0	0	0	0	0
LOC102724849	0	0	0	0	0	0	0	0
LINC00607	64	102	41	26	77	63	26	33
LOC102724861	0	0	0	0	0	0	0	0
LINC01614	0	0	0	0	0	0	0	0
LOC105373870	0	0	0	0	0	0	0	0
MREG	1199	1789	1230	1226	2464	1962	1062	901
PECR	761	1024	680	597	1136	1101	570	411
TMEM169	149	175	104	94	215	167	107	79
XRCC5	10425	14047	10198	11171	19789	17284	8968	7764
LINC01963	107	128	90	101	171	171	80	74
MARCHF4	3	3	0	0	5	3	1	0
LOC107985983	1	0	5	0	2	0	0	0
LOC107985985	0	0	0	0	0	0	5	0
LOC107985984	0	0	0	0	0	0	0	0
SMARCAL1	1758	2473	1319	1396	2482	2233	1186	1043
LOC100507554	114	173	69	65	135	103	49	59
RPL37A	35253	49950	52821	22840	56776	52470	23711	23956
LOC101928156	208	302	252	277	475	414	216	250
LOC101928180	6	9	11	19	18	22	13	11
LOC105373871	1	1	0	0	0	0	0	0
LINC01280	16	12	4	3	18	12	2	3
IGFBP2	22	17	30	18	64	49	23	13
IGFBP5	0	0	0	0	0	0	3	0
LOC101928278	183	237	158	156	318	309	163	110
TNP1	0	0	0	0	0	0	0	0
LOC105373876	0	0	0	0	0	0	0	0
LINC01921	0	0	0	0	0	0	0	0
LOC105373874	0	0	0	0	0	0	0	0
LOC105373873	0	0	0	0	0	0	0	0
LOC105373872	2	3	2	0	2	2	0	0
DIRC3-AS1	35	51	42	24	45	77	30	35
DIRC3	551	831	585	461	912	926	434	465
TNS1	2	2	1	0	7	11	3	0
SNORA115	0	0	0	0	0	0	0	0
MIR6809	0	0	0	0	0	0	0	0
LOC105373878	0	0	0	0	0	0	0	0
RUFY4	405	669	518	438	771	817	396	352
CXCR2P1	3	5	1	2	5	4	0	1
CXCR2	3	6	3	5	5	4	4	0
CXCR1	0	1	0	0	0	0	0	0
LOC101928487	40	52	40	28	66	55	27	22
ARPC2	12029	17012	12938	11906	23623	20079	10275	8824
GPBAR1	7	14	9	7	5	18	10	11
AAMP	1510	2183	1360	1348	2411	2186	1121	1084
PNKD	696	949	617	619	988	1025	512	512
TMBIM1	1559	2045	1166	1132	2139	1903	989	927
MIR6513	0	0	0	0	0	0	0	0
LOC105373881	2	6	0	4	1	0	1	0
LOC105373880	0	1	0	1	1	1	1	1
CATIP-AS2	9	6	0	5	9	5	3	3
MIR6810	0	0	0	0	0	0	0	0
CATIP	2	1	0	2	3	2	0	4
CATIP-AS1	25	29	13	16	34	29	13	16
SLC11A1	28	16	14	11	20	13	4	9
CTDSP1	2578	3704	1814	1852	3778	3563	1741	1406
MIR26B	0	0	0	0	0	0	0	0
VIL1	6	10	19	9	15	25	11	16
USP37	1412	1746	1403	1421	2711	2291	1149	947
CNOT9	3554	5271	3612	3726	6780	6397	3097	2722
PLCD4	4	9	0	2	10	9	3	3
ZNF142	449	564	316	355	595	542	247	244
BCS1L	724	1081	608	655	1234	1000	574	471
RNF25	396	616	310	324	574	598	290	305
STK36	872	1144	585	623	1176	1081	576	476
TTLL4	1172	1732	1229	1130	2143	1851	1049	791
CYP27A1	48	79	47	42	98	80	56	14
LOC107985986	0	1	0	0	5	1	0	0
PRKAG3	0	0	0	2	3	3	1	1
MIR9500	0	0	0	0	0	0	0	0
WNT6	29	30	23	25	71	35	36	20
WNT10A	2511	3643	3197	2731	5936	5758	3140	2412
LOC107984111	825	1213	1067	964	2023	1972	1065	888
LOC105373882	0	3	0	0	4	3	0	6
LINC01494	3	6	2	2	4	9	0	1
CDK5R2	0	0	0	1	0	2	0	0
LINC00608	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0
CRYBA2	0	1	0	0	0	0	0	0
MIR375	0	0	0	0	0	0	0	0
LOC100129175	0	0	0	1	5	0	1	0
CFAP65	0	1	0	0	1	0	0	0
LOC107985987	0	0	2	2	0	0	0	0
IHH	4	1	1	1	1	0	3	1
MIR3131	0	0	0	0	0	0	0	0
NHEJ1	567	762	462	480	814	738	419	339
SLC23A3	125	134	97	72	123	132	66	56
CNPPD1	1548	2170	1078	1087	2048	1967	880	863
RETREG2	1763	2615	1312	1316	2432	2475	1122	991
ZFAND2B	358	582	282	318	570	524	277	232
ABCB6	820	1209	998	901	1920	1669	839	737
ATG9A	1063	1525	861	989	1636	1603	827	676
ANKZF1	2829	3847	2525	2211	4589	4032	2190	1736
GLB1L	112	157	53	62	119	92	54	43
STK16	803	1079	647	583	1163	1042	510	430
TUBA4A	2469	3334	2492	2148	4732	4467	2244	1734
TUBA4B	3	5	1	4	1	9	3	3
DNAJB2	1743	2602	1085	1121	1876	1772	885	843
PTPRN	1	2	0	0	2	5	2	0
MIR153-1	0	0	0	0	0	0	0	0
RESP18	0	0	0	0	0	0	0	0
LOC107985835	0	0	0	0	0	0	0	0
LOC105373883	6	22	9	14	17	16	10	4
DNPEP	1206	1619	1096	1214	2112	1904	939	863
LOC105373884	0	3	1	1	9	4	2	0
DES	0	0	0	0	0	0	0	0
SPEG	0	0	0	0	0	0	0	0
ASIC4-AS1	18	15	8	2	15	30	12	11
SPEGNB	0	1	0	0	0	1	0	0
GMPPA	1755	2355	1383	1309	2530	2349	1232	961
ASIC4	9	7	2	2	16	13	3	9
CHPF	587	1097	413	620	1054	1177	497	480
TMEM198	92	127	69	91	146	169	51	53
MIR3132	0	0	0	0	0	0	0	0
OBSL1	2	1	0	1	0	1	0	0
INHA	0	0	0	0	0	0	0	0
STK11IP	672	954	586	549	1150	958	505	491
SLC4A3	0	0	0	0	0	1	0	0
LINC02832	3	1	0	1	3	1	0	1
LOC105373887	1	3	0	1	3	3	1	0
LOC105373888	2	1	0	2	3	1	0	1
LINC01803	0	0	0	0	0	0	0	0
LOC105373890	5	4	2	5	7	7	1	0
MIR4268	0	0	0	0	0	0	0	0
LOC105373891	6	9	6	2	8	7	9	3
LOC105373893	0	2	0	2	0	1	0	0
LOC105373894	0	0	0	0	0	0	0	0
LOC105373895	0	1	0	0	0	0	0	0
LOC107985989	0	0	0	1	1	0	0	0
LOC105373896	0	0	0	0	0	0	0	0
LOC107985990	0	1	0	0	0	0	0	0
LOC107985988	0	0	0	0	0	0	0	0
EPHA4	28	46	18	7	16	26	13	13
LOC105373897	0	0	0	0	0	0	0	0
LOC105373899	0	0	0	0	0	0	0	0
LOC105373898	0	0	0	0	0	0	0	0
LOC105373900	0	0	0	0	0	0	0	1
PAX3	35	24	19	37	35	52	24	11
LOC107985991	0	0	0	0	1	0	0	0
CCDC140	1	1	0	0	0	2	0	2
CT75	82	124	101	105	192	177	85	54
SGPP2	5970	9183	5198	5631	9408	9261	4520	4122
FARSB	1993	2542	2080	2293	4151	3545	1806	1574
LOC105373902	0	5	3	2	5	5	5	2
MOGAT1	0	2	0	0	0	0	0	0
LOC105373903	16	23	25	9	28	41	20	16
ACSL3	2318	3032	2357	2267	4476	3955	1926	1545
ACSL3-AS1	0	0	0	0	3	1	0	0
KCNE4	0	0	0	0	0	1	2	0
LOC105373905	0	0	0	0	0	0	0	0
LOC105373906	0	0	0	0	0	3	1	0
LOC105373907	0	0	0	0	0	0	0	0
SCG2	1	0	4	0	0	2	0	0
AP1S3	1318	1952	1231	1340	2387	2089	1008	1020
WDFY1	3169	4456	3062	3003	5346	5062	2588	2291
MRPL44	1047	1465	1175	1066	2119	1770	872	777
SERPINE2	92	136	160	122	267	246	110	83
LOC105373908	0	0	0	0	0	0	0	0
FAM124B	2	1	3	3	4	7	1	0
CUL3	5237	7416	4141	3802	7632	6544	3553	2735
LOC105373909	13	16	5	4	5	11	7	3
LOC105373910	1	9	1	0	4	1	0	1
LOC105373911	0	1	0	1	5	6	0	0
DOCK10	11390	15080	9833	9839	17643	15920	8511	7219
MIR4439	0	0	0	0	0	0	0	0
NYAP2	7	13	4	3	13	13	6	6
LOC105373914	8	5	0	1	9	6	3	1
LOC107985992	8	25	15	6	15	11	10	12
LOC646736	1	1	1	1	0	0	0	1
LOC105373915	0	0	0	0	0	0	0	0
MIR5702	0	0	0	0	0	0	0	0
IRS1	175	228	157	129	296	266	160	94
RHBDD1	2307	3346	1804	1819	3210	3053	1448	1315
COL4A4	1427	2291	943	953	1813	1725	882	739
MFF-DT	297	401	235	195	327	345	188	153
COL4A3	3756	4914	2795	2394	5485	4399	2481	1892
MFF	3512	4344	2940	2383	5127	4388	2187	1847
TM4SF20	0	0	1	1	0	1	0	0
MIR5703	0	0	0	0	0	0	0	0
AGFG1	4056	5306	3522	3588	6993	6284	3020	2687
C2orf83	0	0	0	0	0	0	0	1
LOC729968	0	0	0	0	0	0	0	0
SLC19A3	0	2	0	3	0	1	1	0
CCL20	6	5	4	6	3	2	4	3
DAW1	2	1	5	1	7	4	3	0
LOC105373918	1	0	1	0	3	0	2	2
SPHKAP	2	0	0	4	7	2	1	1
LOC107985993	0	0	0	0	0	0	0	0
LINC01807	0	6	2	1	0	3	1	0
LOC105373921	0	0	0	0	0	0	0	0
LOC105373920	0	0	0	0	0	0	0	0
LOC105373919	0	0	0	0	0	0	0	0
PID1	2	1	4	1	4	3	1	0
DNER	2	4	4	3	5	7	1	4
LOC107985994	0	0	0	0	0	0	0	0
LOC105373923	0	0	0	0	0	0	0	0
TRIP12	4111	6078	3578	3714	6566	5747	3064	2653
FBXO36	165	252	127	165	277	198	81	91
LOC105373924	0	0	0	0	0	0	0	0
LOC107985996	5	9	4	6	12	19	6	3
SLC16A14	99	149	83	70	155	123	74	49
LOC107985995	4	4	3	1	4	7	1	1
LOC107985997	5	2	0	1	7	4	3	0
SP110	10925	14512	8468	7787	14232	13957	7281	5742
SP140	12716	17473	10470	10268	18672	16321	8865	7553
SP140L	3907	5300	2753	2649	4884	4735	2435	2002
LOC105373925	1	0	0	2	2	1	4	0
SP100	11914	16214	8884	8194	15677	13730	7245	6038
LOC101928816	48	65	39	23	108	102	37	35
LOC112268431	435	706	272	221	494	453	178	186
LINC01907	0	5	0	0	3	2	0	0
CAB39	5881	7797	5300	5061	10447	8565	4487	3579
ITM2C	7155	10691	6369	6637	11507	10989	5321	4882
GCSIR	3	8	0	5	2	8	4	2
GPR55	1421	2071	1425	1249	2285	2134	1117	937
SPATA3-AS1	140	194	115	84	172	142	86	70
SPATA3	1	3	5	5	5	1	0	1
C2orf72	12	9	6	6	14	11	1	11
LOC112268432	2	1	2	3	0	1	0	0
PSMD1	1674	2375	1768	1926	3291	2968	1521	1458
HTR2B	2	2	8	4	14	9	6	1
ARMC9	385	588	405	407	720	633	334	316
MIR4777	1	1	0	0	1	1	0	0
B3GNT7	682	1029	641	591	1104	1173	469	464
NCL	19004	26985	20872	23246	37444	33840	17273	16689
SNORA75	0	0	0	0	0	0	0	0
SNORD20	0	0	0	0	0	0	0	0
SNORD82	0	0	0	0	0	0	0	0
LOC107985998	45	79	40	49	69	80	21	32
LINC00471	105	160	96	78	150	137	68	66
NMUR1	6	10	6	14	22	36	7	11
LOC105376787	3	8	3	7	4	4	5	2
TEX44	0	0	0	0	0	0	0	0
LOC105373928	2	3	5	2	2	2	1	4
